Device,FailureRate,ID
Cloud,6212,0
Cloud,3198,0
Cloud,4414,0
Cloud,9457,0
Cloud,4312,0
Cloud,2607,0
Cloud,4065,0
Cloud,3396,0
Cloud,3497,0
Cloud,8577,0
Cloud,6809,0
Cloud,4039,0
Cloud,4827,0
Cloud,6361,0
Cloud,7923,0
Cloud,5068,0
Cloud,9044,0
Cloud,5716,0
Cloud,4102,0
Cloud,7555,0
Cloud,1987,0
Cloud,4286,0
